State,Share,Count
IL,0.12873746226153973,719756.0026418881
IN,0.1575240491378902,474910.61315194954
IA,0.1750239342148482,263052.76636402553
KS,0.1768381216711094,232280.03340067118
MI,0.15974899282762703,671406.2160049108
MN,0.08559146978754599,230225.2413801043
MO,0.16330044898239154,436331.52338876843
NE,0.13571054678922684,124868.53492331339
ND,0.10835401055386412,39533.736221241576
OH,0.16758468887214953,834833.3918242162
SD,0.139691380675561,57523.13785834
WI,0.1425104780124123,376160.51726195996
