Year,"South, share","West, share","Northeast, share","Midwest, share","South, count","West, count","Northeast, count","Midwest, count"
1994,0.3693891012313892,0.2950422722126754,0.2582568548306681,0.32071451982841215,13831250.658477783,6666527.669481913,5414819.741307576,8490662.703877768
1995,0.3633021199040015,0.3035800898958841,0.25241792970903065,0.31806183211875544,13914140.356669728,7028752.719222552,5328127.995949102,8595376.552775813
1996,0.3844833346170634,0.31605695804808426,0.2704556753190117,0.3266078956576912,14959842.494180704,7451120.302756009,5828281.258813783,8971089.470628427
1997,0.36401442505859866,0.3157019221363922,0.2657664163264454,0.31164821111605445,14447325.332506714,7727225.604966671,5865268.327213599,8688499.23621356
1998,0.3437294143449721,0.2923597800152152,0.2523922619602211,0.2880570573858123,13973325.763993306,7370016.991982862,5598708.592437919,8139069.84486362
1999,0.3172547562696871,0.26327870044446877,0.23242088910271724,0.2589754867181071,13155904.921683155,6831301.992482852,5184805.736465574,7456513.508801064
2000,0.3198627368096726,0.26652166720984694,0.23185149673004837,0.24927458202855524,13594772.980855232,7139294.521953902,5377448.3027615305,7330781.041266337
2001,0.31697818564158026,0.26010901925669677,0.22025642081944283,0.2522710312910422,13435990.323878622,6965090.430349796,5143135.541208896,7432143.135855822
2002,0.2973777386852381,0.24925335786773595,0.2166901217532051,0.24443280158820002,12524245.255619524,6631084.573240523,5109548.191934474,7151353.518805792
2003,0.2981629431018589,0.24062160804494512,0.2047158305477594,0.2421332069375919,12739788.545994747,6508148.359626059,4734602.844975363,7015204.155454875
2004,0.301914126325354,0.23646488999715623,0.20941071612400214,0.2456776973896752,13095626.521074038,6498970.99710088,4882768.253218056,7112625.152679304
2005,0.2874791925131037,0.23039512362645323,0.20545105781076636,0.24346293810232908,12805196.57063558,6478804.256701691,4860472.783622618,7088861.001237117
2006,0.31897958611225663,0.263156488674079,0.2353039558330003,0.27313079853955635,14613425.940762522,7516286.484735617,5590926.770275645,8106489.120365724
2007,0.3122139122130266,0.25060717802087557,0.23156644952130936,0.28173929436047856,14469051.422729116,7329901.932626604,5524697.877364153,8373678.274297831
2008,0.2982150007988592,0.22778530890342788,0.21871278970140395,0.2735300433164488,13796155.109211328,6684434.128824015,5231915.49268891,8033148.123058921
2009,0.29523475242801916,0.23705783489637547,0.21142766293884527,0.26738509901427754,13160529.900343573,6673315.469037906,4897657.536468667,7503270.10276528
2010,0.31726695200399585,0.25132464596224463,0.2303251279860005,0.2882991070370635,14152094.959328854,6951310.612499664,5360789.961156083,8071289.057183458
2011,0.3180980738098983,0.2608283244808296,0.2273224142832484,0.2883609141623828,14413724.984564254,7242032.277986193,5302140.321104637,8173195.201886663
2012,0.31449375528464857,0.26289449459043823,0.23836329786697388,0.2926677473942593,14725756.21771284,7472376.932686795,5587456.818211542,8326521.377637325
2013,0.3153940424585731,0.2640515611084317,0.23279377528943207,0.28143105332577706,14902846.002651172,7688912.682567561,5538444.053346635,8038879.449533106
2014,0.3282348374588651,0.28290713428455483,0.24717495876957374,0.2921195920426973,15781036.870341903,8423786.803196816,5902581.633444827,8551421.791286394
2015,0.31209286549986376,0.26648328334804,0.22675382622475362,0.2812346083852129,15267962.088764539,8170545.12410581,5513709.312042436,8285301.87028152
2016,0.29474476157690305,0.23932732909858037,0.2270072685142123,0.26664172087864696,14668779.220387433,7517070.359297199,5577325.938657743,7967518.1218173215
2017,0.2905604753807697,0.23610918522593413,0.2084059368560555,0.2565170463444863,14740847.000264995,7518641.463744092,5142363.895718657,7738210.42269991
2018,0.2727144078354557,0.19386480918644164,0.1865978807642538,0.2320742374889168,14107319.882837133,6326805.664165409,4649401.676882942,7049841.253861892
2019,0.2604091180839362,0.1753717352840328,0.1741411967821901,0.22166788180939864,13704911.603303311,5809921.226571389,4356994.755713081,6767349.494123878
2020,0.2236706289620701,0.12295755335293124,0.13048053574517632,0.18186963540992565,11041960.364923555,3783352.8587814383,2992694.996512375,5213450.010015436
2021,0.21983221183450774,0.09650156620876991,0.11486193281473911,0.16583609842015531,11236876.395177377,3076087.4262640695,2695997.863701572,4890085.113873066
2022,0.20207502530064184,0.08044448192205333,0.10209610739365932,0.14708933221717013,10717528.002715245,2662856.5047572125,2524779.8292619064,4457497.395429999
